uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2016-03-04 23:35:00+00:00,SES-9,"[{'type': 'Satellite', 'mass': 5271, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-04-08 20:43:00+00:00,CRS-8,"[{'type': 'Dragon 1.1', 'mass': 3136, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-05-06 05:21:00+00:00,JCSAT-2B,"[{'type': 'Satellite', 'mass': 4696, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-05-27 21:39:00+00:00,Thaicom 8,"[{'type': 'Satellite', 'mass': 3100, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2016-06-15 14:29:00+00:00,ABS-2A / Eutelsat 117W B,"[{'type': 'Satellite', 'mass': 3600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,,"(33.7291858, -118.262015)",Success
2016-07-18 04:45:00+00:00,CRS-9,"[{'type': 'Dragon 1.1', 'mass': 2257, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,,"(28.485833, -80.544444)",Success
2016-08-14 05:26:00+00:00,JCSAT-16,"[{'type': 'Satellite', 'mass': 4600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2016-09-01 13:07:00+00:00,Amos-6,"[{'type': 'Satellite', 'mass': 5500, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Failure
2017-01-14 17:54:00+00:00,Iridium NEXT Mission 1,"[{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}]",Falcon 9,0,70.0,3.7,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",JRTI,ASDS,,"(28.4104, -80.6188)",Success
2017-02-19 14:39:00+00:00,CRS-10,"[{'type': 'Dragon 1.1', 'mass': 2490, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
